Entity,category,value
Afghanistan,Afghanistan,31477500.0
Albania,Albania,0.0
Algeria,Algeria,70000.0
Angola,Angola,31380000.0
Antigua and Barbuda,Antigua and Barbuda,19550000.0
Argentina,Argentina,430270000.0
Armenia,Armenia,55565000.0
Aruba,Aruba,0.0
Australia,Australia,0.0
Austria,Austria,0.0
Azerbaijan,Azerbaijan,15000.0
Bahamas,Bahamas,230000.0
Bahrain,Bahrain,0.0
Bangladesh,Bangladesh,259485000.0
Barbados,Barbados,14336666.666666666
Belarus,Belarus,0.0
Belgium,Belgium,0.0
Belize,Belize,4477500.0
Benin,Benin,65270000.0
Bermuda,Bermuda,0.0
Bhutan,Bhutan,220000.0
Bosnia and Herzegovina,Bosnia and Herzegovina,0.0
Botswana,Botswana,13333.333333333334
Brazil,Brazil,247747500.0
Bulgaria,Bulgaria,0.0
Burkina Faso,Burkina Faso,32767500.0
Burundi,Burundi,31797500.0
Cambodia,Cambodia,44125000.0
Cameroon,Cameroon,297652500.0
Canada,Canada,0.0
Cayman Islands,Cayman Islands,0.0
Central African Republic,Central African Republic,13452500.0
Chad,Chad,20670000.0
Chile,Chile,254700000.0
China,China,534367500.0
Colombia,Colombia,484072500.0
Comoros,Comoros,5595000.0
Congo,Congo,6936666.666666667
Costa Rica,Costa Rica,113350000.0
Croatia,Croatia,0.0
Cuba,Cuba,38712500.0
Cyprus,Cyprus,0.0
Czechia,Czechia,0.0
Denmark,Denmark,0.0
Djibouti,Djibouti,15087500.0
Dominica,Dominica,7950000.0
Dominican Republic,Dominican Republic,51787500.0
Ecuador,Ecuador,58090000.0
Egypt,Egypt,711980000.0
El Salvador,El Salvador,80780000.0
Equatorial Guinea,Equatorial Guinea,0.0
Eritrea,Eritrea,30000.0
Estonia,Estonia,0.0
Eswatini,Eswatini,0.0
Ethiopia,Ethiopia,126467500.0
Fiji,Fiji,1490000.0
Finland,Finland,0.0
France,France,0.0
Gabon,Gabon,13620000.0
Gambia,Gambia,34010000.0
Georgia,Georgia,47695000.0
Germany,Germany,0.0
Ghana,Ghana,136215000.0
Greece,Greece,0.0
Grenada,Grenada,720000.0
Guatemala,Guatemala,20522500.0
Guinea,Guinea,525072500.0
Guinea-Bissau,Guinea-Bissau,2130000.0
Guyana,Guyana,22720000.0
Haiti,Haiti,18777500.0
Honduras,Honduras,90515000.0
Hungary,Hungary,0.0
Iceland,Iceland,0.0
India,India,1381172500.0
Indonesia,Indonesia,478785000.0
Iraq,Iraq,186765000.0
Ireland,Ireland,0.0
Israel,Israel,0.0
Italy,Italy,0.0
Jamaica,Jamaica,22295000.0
Japan,Japan,0.0
Jordan,Jordan,276977500.0
Kazakhstan,Kazakhstan,181507500.0
Kenya,Kenya,347272500.0
Kiribati,Kiribati,430000.0
Kuwait,Kuwait,0.0
Kyrgyzstan,Kyrgyzstan,31440000.0
Latvia,Latvia,0.0
Lebanon,Lebanon,7552500.0
Lesotho,Lesotho,4786666.666666667
Liberia,Liberia,25170000.0
Libya,Libya,0.0
Lithuania,Lithuania,0.0
Luxembourg,Luxembourg,0.0
Madagascar,Madagascar,24657500.0
Malawi,Malawi,30742500.0
Malaysia,Malaysia,355000.0
Maldives,Maldives,2435000.0
Mali,Mali,31075000.0
Malta,Malta,0.0
Mauritania,Mauritania,49427500.0
Mauritius,Mauritius,14870000.0
Mexico,Mexico,399100000.0
Mongolia,Mongolia,102405000.0
Montenegro,Montenegro,0.0
Morocco,Morocco,429297500.0
Mozambique,Mozambique,76500000.0
Myanmar,Myanmar,49257500.0
Namibia,Namibia,12962500.0
Nauru,Nauru,2800000.0
Nepal,Nepal,96817500.0
Netherlands,Netherlands,0.0
New Caledonia,New Caledonia,4270000.0
New Zealand,New Zealand,0.0
Nicaragua,Nicaragua,67885000.0
Niger,Niger,59812500.0
Nigeria,Nigeria,1632865000.0
North Macedonia,North Macedonia,0.0
Norway,Norway,0.0
Oman,Oman,0.0
Pakistan,Pakistan,1173160000.0
Panama,Panama,139647500.0
Papua New Guinea,Papua New Guinea,8355000.0
Paraguay,Paraguay,44030000.0
Peru,Peru,180245000.0
Philippines,Philippines,70080000.0
Poland,Poland,0.0
Portugal,Portugal,0.0
Puerto Rico,Puerto Rico,0.0
Qatar,Qatar,0.0
Romania,Romania,0.0
Rwanda,Rwanda,35017500.0
Saint Kitts and Nevis,Saint Kitts and Nevis,0.0
Saint Lucia,Saint Lucia,9770000.0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,17395000.0
Samoa,Samoa,1025000.0
Sao Tome and Principe,Sao Tome and Principe,160000.0
Saudi Arabia,Saudi Arabia,0.0
Senegal,Senegal,120325000.0
Serbia,Serbia,0.0
Seychelles,Seychelles,810000.0
Sierra Leone,Sierra Leone,7517500.0
Singapore,Singapore,0.0
Slovakia,Slovakia,0.0
Slovenia,Slovenia,0.0
Solomon Islands,Solomon Islands,59265000.0
Somalia,Somalia,6380000.0
South Africa,South Africa,192590000.0
South Sudan,South Sudan,177500.0
Spain,Spain,0.0
Sri Lanka,Sri Lanka,118377500.0
Sudan,Sudan,52422500.0
Suriname,Suriname,7600000.0
Sweden,Sweden,0.0
Switzerland,Switzerland,0.0
Tajikistan,Tajikistan,167310000.0
Thailand,Thailand,99425000.0
Togo,Togo,4727500.0
Tonga,Tonga,15707500.0
Trinidad and Tobago,Trinidad and Tobago,0.0
Tunisia,Tunisia,37295000.0
Turkey,Turkey,797600000.0
Turkmenistan,Turkmenistan,45000.0
Tuvalu,Tuvalu,3275000.0
Uganda,Uganda,222137500.0
Ukraine,Ukraine,0.0
United Arab Emirates,United Arab Emirates,0.0
United Kingdom,United Kingdom,0.0
United States,United States,0.0
Uruguay,Uruguay,44075000.0
Uzbekistan,Uzbekistan,52722500.0
Vanuatu,Vanuatu,6566666.666666667
Yemen,Yemen,18980000.0
Zambia,Zambia,103132500.0
Zimbabwe,Zimbabwe,1178000.0
Afghanistan,Average,129166808.69565217
Albania,Average,129166808.69565217
Algeria,Average,129166808.69565217
Angola,Average,129166808.69565217
Antigua and Barbuda,Average,129166808.69565217
Argentina,Average,129166808.69565217
Armenia,Average,129166808.69565217
Aruba,Average,129166808.69565217
Australia,Average,129166808.69565217
Austria,Average,129166808.69565217
Azerbaijan,Average,129166808.69565217
Bahamas,Average,129166808.69565217
Bahrain,Average,129166808.69565217
Bangladesh,Average,129166808.69565217
Barbados,Average,129166808.69565217
Belarus,Average,129166808.69565217
Belgium,Average,129166808.69565217
Belize,Average,129166808.69565217
Benin,Average,129166808.69565217
Bermuda,Average,129166808.69565217
Bhutan,Average,129166808.69565217
Bosnia and Herzegovina,Average,129166808.69565217
Botswana,Average,129166808.69565217
Brazil,Average,129166808.69565217
Bulgaria,Average,129166808.69565217
Burkina Faso,Average,129166808.69565217
Burundi,Average,129166808.69565217
Cambodia,Average,129166808.69565217
Cameroon,Average,129166808.69565217
Canada,Average,129166808.69565217
Cayman Islands,Average,129166808.69565217
Central African Republic,Average,129166808.69565217
Chad,Average,129166808.69565217
Chile,Average,129166808.69565217
China,Average,129166808.69565217
Colombia,Average,129166808.69565217
Comoros,Average,129166808.69565217
Congo,Average,129166808.69565217
Costa Rica,Average,129166808.69565217
Croatia,Average,129166808.69565217
Cuba,Average,129166808.69565217
Cyprus,Average,129166808.69565217
Czechia,Average,129166808.69565217
Denmark,Average,129166808.69565217
Djibouti,Average,129166808.69565217
Dominica,Average,129166808.69565217
Dominican Republic,Average,129166808.69565217
Ecuador,Average,129166808.69565217
Egypt,Average,129166808.69565217
El Salvador,Average,129166808.69565217
Equatorial Guinea,Average,129166808.69565217
Eritrea,Average,129166808.69565217
Estonia,Average,129166808.69565217
Eswatini,Average,129166808.69565217
Ethiopia,Average,129166808.69565217
Fiji,Average,129166808.69565217
Finland,Average,129166808.69565217
France,Average,129166808.69565217
Gabon,Average,129166808.69565217
Gambia,Average,129166808.69565217
Georgia,Average,129166808.69565217
Germany,Average,129166808.69565217
Ghana,Average,129166808.69565217
Greece,Average,129166808.69565217
Grenada,Average,129166808.69565217
Guatemala,Average,129166808.69565217
Guinea,Average,129166808.69565217
Guinea-Bissau,Average,129166808.69565217
Guyana,Average,129166808.69565217
Haiti,Average,129166808.69565217
Honduras,Average,129166808.69565217
Hungary,Average,129166808.69565217
Iceland,Average,129166808.69565217
India,Average,129166808.69565217
Indonesia,Average,129166808.69565217
Iraq,Average,129166808.69565217
Ireland,Average,129166808.69565217
Israel,Average,129166808.69565217
Italy,Average,129166808.69565217
Jamaica,Average,129166808.69565217
Japan,Average,129166808.69565217
Jordan,Average,129166808.69565217
Kazakhstan,Average,129166808.69565217
Kenya,Average,129166808.69565217
Kiribati,Average,129166808.69565217
Kuwait,Average,129166808.69565217
Kyrgyzstan,Average,129166808.69565217
Latvia,Average,129166808.69565217
Lebanon,Average,129166808.69565217
Lesotho,Average,129166808.69565217
Liberia,Average,129166808.69565217
Libya,Average,129166808.69565217
Lithuania,Average,129166808.69565217
Luxembourg,Average,129166808.69565217
Madagascar,Average,129166808.69565217
Malawi,Average,129166808.69565217
Malaysia,Average,129166808.69565217
Maldives,Average,129166808.69565217
Mali,Average,129166808.69565217
Malta,Average,129166808.69565217
Mauritania,Average,129166808.69565217
Mauritius,Average,129166808.69565217
Mexico,Average,129166808.69565217
Mongolia,Average,129166808.69565217
Montenegro,Average,129166808.69565217
Morocco,Average,129166808.69565217
Mozambique,Average,129166808.69565217
Myanmar,Average,129166808.69565217
Namibia,Average,129166808.69565217
Nauru,Average,129166808.69565217
Nepal,Average,129166808.69565217
Netherlands,Average,129166808.69565217
New Caledonia,Average,129166808.69565217
New Zealand,Average,129166808.69565217
Nicaragua,Average,129166808.69565217
Niger,Average,129166808.69565217
Nigeria,Average,129166808.69565217
North Macedonia,Average,129166808.69565217
Norway,Average,129166808.69565217
Oman,Average,129166808.69565217
Pakistan,Average,129166808.69565217
Panama,Average,129166808.69565217
Papua New Guinea,Average,129166808.69565217
Paraguay,Average,129166808.69565217
Peru,Average,129166808.69565217
Philippines,Average,129166808.69565217
Poland,Average,129166808.69565217
Portugal,Average,129166808.69565217
Puerto Rico,Average,129166808.69565217
Qatar,Average,129166808.69565217
Romania,Average,129166808.69565217
Rwanda,Average,129166808.69565217
Saint Kitts and Nevis,Average,129166808.69565217
Saint Lucia,Average,129166808.69565217
Saint Vincent and the Grenadines,Average,129166808.69565217
Samoa,Average,129166808.69565217
Sao Tome and Principe,Average,129166808.69565217
Saudi Arabia,Average,129166808.69565217
Senegal,Average,129166808.69565217
Serbia,Average,129166808.69565217
Seychelles,Average,129166808.69565217
Sierra Leone,Average,129166808.69565217
Singapore,Average,129166808.69565217
Slovakia,Average,129166808.69565217
Slovenia,Average,129166808.69565217
Solomon Islands,Average,129166808.69565217
Somalia,Average,129166808.69565217
South Africa,Average,129166808.69565217
South Sudan,Average,129166808.69565217
Spain,Average,129166808.69565217
Sri Lanka,Average,129166808.69565217
Sudan,Average,129166808.69565217
Suriname,Average,129166808.69565217
Sweden,Average,129166808.69565217
Switzerland,Average,129166808.69565217
Tajikistan,Average,129166808.69565217
Thailand,Average,129166808.69565217
Togo,Average,129166808.69565217
Tonga,Average,129166808.69565217
Trinidad and Tobago,Average,129166808.69565217
Tunisia,Average,129166808.69565217
Turkey,Average,129166808.69565217
Turkmenistan,Average,129166808.69565217
Tuvalu,Average,129166808.69565217
Uganda,Average,129166808.69565217
Ukraine,Average,129166808.69565217
United Arab Emirates,Average,129166808.69565217
United Kingdom,Average,129166808.69565217
United States,Average,129166808.69565217
Uruguay,Average,129166808.69565217
Uzbekistan,Average,129166808.69565217
Vanuatu,Average,129166808.69565217
Yemen,Average,129166808.69565217
Zambia,Average,129166808.69565217
Zimbabwe,Average,129166808.69565217
